dataset,language,sent_id,dependency_distance
human,en,en-human-0000027,7
human,en,en-human-0000027,3
human,en,en-human-0000027,2
human,en,en-human-0000027,1
human,en,en-human-0000027,4
human,en,en-human-0000027,2
human,en,en-human-0000027,1
human,en,en-human-0000027,1
human,en,en-human-0000027,2
human,en,en-human-0000027,2
human,en,en-human-0000027,1
human,en,en-human-0000027,3
human,en,en-human-0000028,9
human,en,en-human-0000028,1
human,en,en-human-0000028,7
human,en,en-human-0000028,3
human,en,en-human-0000028,2
human,en,en-human-0000028,1
human,en,en-human-0000028,4
human,en,en-human-0000028,2
human,en,en-human-0000028,1
human,en,en-human-0000028,15
human,en,en-human-0000028,1
human,en,en-human-0000028,2
human,en,en-human-0000028,1
human,en,en-human-0000028,2
human,en,en-human-0000028,2
human,en,en-human-0000028,1
human,en,en-human-0000028,3
human,en,en-human-0000028,6
human,en,en-human-0000028,3
human,en,en-human-0000028,2
human,en,en-human-0000028,1
human,en,en-human-0000028,4
human,en,en-human-0000028,1
human,en,en-human-0000028,1
human,en,en-human-0000028,1
human,en,en-human-0000028,5
human,en,en-human-0000028,1
human,en,en-human-0000028,2
human,en,en-human-0000028,1
human,en,en-human-0000028,2
human,en,en-human-0000028,1
human,en,en-human-0000028,6
human,en,en-human-0000029,5
human,en,en-human-0000029,4
human,en,en-human-0000029,2
human,en,en-human-0000029,1
human,en,en-human-0000029,1
human,en,en-human-0000029,16
human,en,en-human-0000029,1
human,en,en-human-0000029,1
human,en,en-human-0000029,1
human,en,en-human-0000029,3
human,en,en-human-0000029,1
human,en,en-human-0000029,2
human,en,en-human-0000029,4
human,en,en-human-0000029,5
human,en,en-human-0000029,4
human,en,en-human-0000029,2
human,en,en-human-0000029,1
human,en,en-human-0000029,1
human,en,en-human-0000029,4
human,en,en-human-0000029,3
human,en,en-human-0000029,2
human,en,en-human-0000029,1
human,en,en-human-0000029,5
human,en,en-human-0000029,1
human,en,en-human-0000029,2
human,en,en-human-0000029,2
human,en,en-human-0000029,3
human,en,en-human-0000029,2
human,en,en-human-0000029,1
human,en,en-human-0000029,13
human,en,en-human-0000030,8
human,en,en-human-0000030,1
human,en,en-human-0000030,2
human,en,en-human-0000030,5
human,en,en-human-0000030,4
human,en,en-human-0000030,3
human,en,en-human-0000030,1
human,en,en-human-0000030,1
human,en,en-human-0000030,2
human,en,en-human-0000030,1
human,en,en-human-0000030,2
human,en,en-human-0000030,1
human,en,en-human-0000030,5
human,en,en-human-0000030,2
human,en,en-human-0000030,1
human,en,en-human-0000030,3
human,en,en-human-0000030,1
human,en,en-human-0000030,2
human,en,en-human-0000031,1
human,en,en-human-0000031,10
human,en,en-human-0000031,2
human,en,en-human-0000031,1
human,en,en-human-0000031,7
human,en,en-human-0000031,3
human,en,en-human-0000031,2
human,en,en-human-0000031,1
human,en,en-human-0000031,4
human,en,en-human-0000031,1
human,en,en-human-0000031,1
human,en,en-human-0000031,11
human,en,en-human-0000031,2
human,en,en-human-0000031,1
human,en,en-human-0000031,3
human,en,en-human-0000031,2
human,en,en-human-0000031,1
human,en,en-human-0000031,3
human,en,en-human-0000031,1
human,en,en-human-0000031,2
human,en,en-human-0000031,1
human,en,en-human-0000031,5
human,en,en-human-0000031,1
human,en,en-human-0000031,2
human,en,en-human-0000031,1
human,en,en-human-0000031,13
human,en,en-human-0000031,1
human,en,en-human-0000032,1
human,en,en-human-0000032,14
human,en,en-human-0000032,2
human,en,en-human-0000032,1
human,en,en-human-0000032,3
human,en,en-human-0000032,1
human,en,en-human-0000032,5
human,en,en-human-0000032,1
human,en,en-human-0000032,1
human,en,en-human-0000032,4
human,en,en-human-0000032,1
human,en,en-human-0000032,2
human,en,en-human-0000032,1
human,en,en-human-0000032,2
human,en,en-human-0000032,1
human,en,en-human-0000032,4
human,en,en-human-0000032,1
human,en,en-human-0000032,2
human,en,en-human-0000032,3
human,en,en-human-0000032,2
human,en,en-human-0000032,1
human,en,en-human-0000032,4
human,en,en-human-0000032,1
human,en,en-human-0000032,2
human,en,en-human-0000033,6
human,en,en-human-0000033,2
human,en,en-human-0000033,3
human,en,en-human-0000033,5
human,en,en-human-0000033,3
human,en,en-human-0000033,2
human,en,en-human-0000033,1
human,en,en-human-0000033,4
human,en,en-human-0000033,1
human,en,en-human-0000033,3
human,en,en-human-0000033,2
human,en,en-human-0000033,1
human,en,en-human-0000033,5
human,en,en-human-0000034,1
human,en,en-human-0000034,2
human,en,en-human-0000034,1
human,en,en-human-0000034,1
human,en,en-human-0000034,2
human,en,en-human-0000034,2
human,en,en-human-0000034,1
human,en,en-human-0000034,5
human,en,en-human-0000034,1
human,en,en-human-0000034,2
human,en,en-human-0000034,1
human,en,en-human-0000034,2
human,en,en-human-0000034,3
human,en,en-human-0000035,1
human,en,en-human-0000035,3
human,en,en-human-0000035,1
human,en,en-human-0000035,2
human,en,en-human-0000035,1
human,en,en-human-0000035,3
human,en,en-human-0000036,2
human,en,en-human-0000036,1
human,en,en-human-0000036,1
human,en,en-human-0000036,4
human,en,en-human-0000036,1
human,en,en-human-0000036,3
human,en,en-human-0000036,1
human,en,en-human-0000036,3
human,en,en-human-0000036,2
human,en,en-human-0000036,5
human,en,en-human-0000036,6
human,en,en-human-0000036,5
human,en,en-human-0000036,1
human,en,en-human-0000036,2
human,en,en-human-0000036,1
human,en,en-human-0000036,8
human,en,en-human-0000036,2
human,en,en-human-0000036,1
human,en,en-human-0000036,3
human,en,en-human-0000036,2
human,en,en-human-0000036,1
human,en,en-human-0000036,3
human,en,en-human-0000036,5
human,en,en-human-0000036,1
human,en,en-human-0000036,2
human,en,en-human-0000036,1
human,en,en-human-0000036,2
human,en,en-human-0000037,3
human,en,en-human-0000037,2
human,en,en-human-0000037,1
human,en,en-human-0000037,1
human,en,en-human-0000037,1
human,en,en-human-0000037,2
human,en,en-human-0000037,1
human,en,en-human-0000037,3
human,en,en-human-0000037,2
human,en,en-human-0000037,1
human,en,en-human-0000037,6
human,en,en-human-0000037,2
human,en,en-human-0000037,1
human,en,en-human-0000037,3
human,en,en-human-0000037,3
human,en,en-human-0000037,2
human,en,en-human-0000037,1
human,en,en-human-0000037,4
human,en,en-human-0000037,2
human,en,en-human-0000037,1
human,en,en-human-0000037,7
human,en,en-human-0000037,3
human,en,en-human-0000037,2
human,en,en-human-0000037,1
human,en,en-human-0000037,4
human,en,en-human-0000037,2
human,en,en-human-0000037,1
human,en,en-human-0000037,3
human,en,en-human-0000038,1
human,en,en-human-0000038,3
human,en,en-human-0000038,2
human,en,en-human-0000038,1
human,en,en-human-0000038,19
human,en,en-human-0000038,2
human,en,en-human-0000038,1
human,en,en-human-0000038,3
human,en,en-human-0000038,2
human,en,en-human-0000038,1
human,en,en-human-0000038,3
human,en,en-human-0000038,3
human,en,en-human-0000038,2
human,en,en-human-0000038,1
human,en,en-human-0000038,10
human,en,en-human-0000038,1
